,ADP
2014-12-31,163.94
2015-12-31,172.79
2016-12-31,163.63
2017-12-31,164.36
2018-12-31,189.68
2019-12-31,165.57
2020-12-31,148.93
2021-12-31,185.75
2022-12-31,210.82
2023-12-31,200.24
2024-12-31,312.33
2025-12-31,227.81
2026-12-31,247.12166666666963
2027-12-31,255.57820512821127
2028-12-31,264.03474358974927
2029-12-31,272.49128205128727
2030-12-31,280.9478205128253
2031-12-31,289.4043589743669
2032-12-31,297.8608974359049
2033-12-31,306.3174358974429
2034-12-31,314.77397435898456
2035-12-31,323.23051282052256
